[СОВА] 04:31:12 СОВА v2: 805 unis, concurrency=4, dry=false
  OK rome-university-of-fine-arts: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK rit-dubai: ielts=null toefl=null duolingo=120 gpa=null exams=[SAT (recommended for undergraduate)] conf=1.00 status=found
  OK saba-university-school-of-medicine: ielts=null toefl=null duolingo=null gpa=null exams=[MCAT] conf=0.83 status=found
  OK sat-exams: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK sae-dubai: ielts=null toefl=60 duolingo=null gpa=2.5 exams=[ACT] conf=0.92 status=found
  OK scholarships: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK schiller-international-university: ielts=5.5 toefl=51 duolingo=95 gpa=null exams=[] conf=1.00 status=found
  OK semmelweis-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK services: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK soas: ielts=null toefl=null duolingo=null gpa=3.3 exams=[] conf=0.92 status=found
  OK southern-denmark-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK sp-jain-school-of-global-management-dubai: ielts=6 toefl=60 duolingo=85 gpa=null exams=[SAT,ACT,GMAT,GRE] conf=0.96 status=found
  OK srh-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK sprott-carleton: ielts=null toefl=null duolingo=null gpa=null exams=[GMAT,GRE] conf=0.82 status=found
  OK st-matthews-university-school-of-medicine: ielts=null toefl=null duolingo=null gpa=null exams=[MCAT] conf=0.83 status=found
  OK suny-geneseo: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.82 status=found
  OK swps-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK sydney: ielts=null toefl=null duolingo=null gpa=null exams=[SAT] conf=0.83 status=found
  OK szeged-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK technological-university-of-dublin-tu-dublin: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK ted-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK the-campus-bio-medico-university-of-rome-ucbm: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK toefl-exam: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK toefl-vs-ielts: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK toulouse-business-school: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK trends-shaping-brazilian-students-international-education-preferences-: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK trine-university: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK types-of-mba: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK ubi-brussels: ielts=null toefl=72 duolingo=null gpa=null exams=[] conf=1.00 status=found
  OK ucam-catholic-university-of-murcia: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK ucat-exam: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK ucf: ielts=null toefl=null duolingo=null gpa=null exams=[GMAT,GRE] conf=0.83 status=found
  OK trinity-western: ielts=null toefl=78 duolingo=null gpa=null exams=[] conf=0.92 status=found
  OK universidad-europea-de-madrid: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK uis: ielts=null toefl=null duolingo=null gpa=2.5 exams=[SAT,ACT,GMAT,GRE] conf=0.88 status=found
  OK universitat-politecnica-de-valencia-upv: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK university-college-dublin: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK university-of-canada-west: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK university-of-ghent: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK university-of-central-lancashire-cyprus: ielts=6.5 toefl=null duolingo=null gpa=null exams=[] conf=1.00 status=found
  OK university-of-helsinki: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK university-of-pecs: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK university-of-regina: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK university-of-sheffield: ielts=6.5 toefl=null duolingo=null gpa=null exams=[] conf=1.00 status=found
  OK university-of-warsaw: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK victoria-wellington: ielts=null toefl=null duolingo=null gpa=null exams=[GMAT,GRE] conf=0.83 status=found
  OK visa-application: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK waikato: ielts=null toefl=60 duolingo=95 gpa=2.4 exams=[] conf=0.92 status=found
  OK warsaw-university-of-technology: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,GMAT,GRE,UCAT] conf=0.83 status=found
  OK washington-state: ielts=null toefl=null duolingo=null gpa=null exams=[SAT,ACT] conf=0.83 status=found
  OK webster-vienna: ielts=null toefl=80 duolingo=null gpa=2.5 exams=[SAT,ACT] conf=0.94 status=found
  OK yamanashi-gakuin: ielts=null toefl=76 duolingo=null gpa=null exams=[SAT] conf=0.92 status=found
[СОВА] 05:02:16 done: found=147 skip-full=1 no-site=182 no-data=475 error=0
[СОВА] 05:02:16 log: D:\Эдгар, (НЕ ТРОЖ ОПАСТНО ДЛЯ ЖИЗНИ)\cursor projects\claude projects\projects\studyroom-project-site\scraper\sources\requirements.log
{"script":"sova-v2","dryRun":false,"total":805,"found":147,"skipFull":1,"noSite":182,"noData":475,"error":0}
